Date,Open Price,Close Price,High Price,Low Price,Volume
02-Jan-2009,248.97,258.23,258.23,247.83,0
05-Jan-2009,261.25,261.78,262.20,256.71,0
06-Jan-2009,262.71,269.27,271.91,259.42,0
07-Jan-2009,268.24,265.04,269.52,262.87,0
08-Jan-2009,261.04,264.59,266.10,260.26,0
09-Jan-2009,265.26,266.18,269.74,263.31,0
12-Jan-2009,264.95,261.80,266.80,260.54,0
13-Jan-2009,259.89,260.74,262.06,256.21,0
14-Jan-2009,262.49,247.32,263.01,245.08,0
15-Jan-2009,246.84,243.60,248.96,241.56,0
16-Jan-2009,249.63,248.55,254.02,248.07,0
19-Jan-2009,252.31,245.22,255.30,241.87,0
20-Jan-2009,244.34,240.11,246.69,238.97,0
21-Jan-2009,237.27,237.71,240.50,232.91,0
22-Jan-2009,243.04,235.46,243.21,234.01,0
23-Jan-2009,234.23,234.14,235.51,227.53,0
26-Jan-2009,234.69,247.88,248.42,234.00,0
27-Jan-2009,248.75,248.59,248.77,242.79,0
28-Jan-2009,252.69,257.16,258.37,252.69,0
29-Jan-2009,255.41,252.35,256.01,249.76,0
30-Jan-2009,252.35,248.60,253.20,247.04,0
02-Feb-2009,245.42,245.96,247.28,241.71,0
03-Feb-2009,247.56,250.83,251.49,242.81,0
04-Feb-2009,251.60,254.79,257.78,250.29,0
05-Feb-2009,249.49,252.51,253.15,246.19,0
06-Feb-2009,255.00,261.35,262.56,253.92,0
09-Feb-2009,259.40,262.72,263.95,257.92,0
10-Feb-2009,259.45,251.37,260.22,251.37,0
11-Feb-2009,250.19,253.28,253.94,249.67,0
12-Feb-2009,249.33,248.27,249.47,244.96,0
13-Feb-2009,251.25,251.12,254.19,249.33,0
16-Feb-2009,249.22,247.15,250.40,246.44,0
17-Feb-2009,244.33,238.17,244.44,236.94,0
18-Feb-2009,239.21,238.30,239.77,234.37,0
19-Feb-2009,240.36,237.67,241.70,237.26,0
20-Feb-2009,234.13,229.13,234.20,228.48,0
23-Feb-2009,232.88,223.98,233.34,223.33,0
24-Feb-2009,221.86,222.55,223.08,218.01,0
25-Feb-2009,226.97,220.69,227.67,218.34,0
26-Feb-2009,222.86,223.67,225.60,220.37,0
27-Feb-2009,220.42,219.81,220.86,214.96,0
02-Mar-2009,214.45,208.84,214.45,208.53,0
03-Mar-2009,209.76,202.57,211.17,202.41,0
04-Mar-2009,205.45,211.58,211.71,205.29,0
05-Mar-2009,208.58,200.58,209.67,200.58,0
06-Mar-2009,199.94,199.50,204.32,198.22,0
09-Mar-2009,200.74,199.25,200.74,194.99,0
10-Mar-2009,199.34,210.44,211.55,198.72,0
11-Mar-2009,211.01,210.33,214.37,205.77,0
12-Mar-2009,208.16,211.31,211.98,204.21,0
13-Mar-2009,214.95,211.74,216.28,210.71,0
16-Mar-2009,215.96,215.79,216.98,212.01,0
17-Mar-2009,212.95,210.87,213.63,209.05,0
18-Mar-2009,213.07,209.34,214.03,206.93,0
19-Mar-2009,211.00,210.38,214.97,208.94,0
20-Mar-2009,209.15,212.71,213.33,208.44,0
23-Mar-2009,217.70,220.90,221.30,215.79,0
24-Mar-2009,224.83,221.47,225.21,218.60,0
25-Mar-2009,220.50,225.55,226.18,220.35,0
26-Mar-2009,226.69,224.80,226.77,222.45,0
27-Mar-2009,224.83,221.73,225.17,220.37,0
30-Mar-2009,216.18,211.11,216.51,211.11,0
31-Mar-2009,213.26,216.98,217.06,213.25,0
01-Apr-2009,216.27,220.70,220.76,212.77,0
02-Apr-2009,226.17,232.05,232.59,225.87,0
03-Apr-2009,231.08,230.76,235.28,229.32,0
06-Apr-2009,233.65,228.85,235.96,227.41,0
07-Apr-2009,229.85,227.39,230.50,224.60,0
08-Apr-2009,222.78,228.24,229.87,222.25,0
09-Apr-2009,230.76,232.84,233.72,228.47,0
14-Apr-2009,234.54,235.45,238.47,232.98,0
15-Apr-2009,231.84,235.90,237.55,231.72,0
16-Apr-2009,238.06,238.49,240.02,234.99,0
17-Apr-2009,240.56,243.81,244.98,239.44,0
20-Apr-2009,242.29,233.77,242.92,232.91,0
21-Apr-2009,232.89,234.72,236.32,228.19,0
22-Apr-2009,235.55,236.88,237.63,230.57,0
23-Apr-2009,235.37,235.30,240.15,234.82,0
24-Apr-2009,235.67,239.34,239.49,235.04,0
27-Apr-2009,235.16,238.14,238.85,233.51,0
28-Apr-2009,233.70,234.83,236.45,231.23,0
29-Apr-2009,235.15,238.07,238.72,234.38,0
30-Apr-2009,240.90,240.76,243.94,240.72,0
04-May-2009,244.99,251.47,251.60,244.62,0
05-May-2009,253.03,252.16,254.32,250.28,0
06-May-2009,251.44,255.28,257.59,251.03,0
07-May-2009,257.58,256.69,263.25,255.27,0
08-May-2009,259.97,261.35,263.75,258.98,0
11-May-2009,260.87,256.47,260.87,254.95,0
12-May-2009,254.43,255.33,259.27,254.26,0
13-May-2009,256.15,250.19,257.61,249.50,0
14-May-2009,250.65,249.02,251.35,247.46,0
15-May-2009,251.85,252.92,253.82,249.24,0
18-May-2009,249.59,259.17,259.49,248.82,0
19-May-2009,262.41,262.23,263.63,259.62,0
20-May-2009,261.56,266.30,267.15,261.56,0
21-May-2009,262.46,259.02,263.61,258.39,0
22-May-2009,260.55,260.14,262.48,258.21,0
25-May-2009,261.11,260.66,261.48,257.28,0
26-May-2009,259.36,263.43,263.62,255.06,0
27-May-2009,265.29,264.20,265.67,262.12,0
28-May-2009,260.42,260.90,262.98,258.11,0
29-May-2009,265.17,259.45,265.17,258.62,0
01-Jun-2009,265.24,268.42,268.91,265.03,0
02-Jun-2009,267.15,268.99,270.09,266.17,0
03-Jun-2009,271.12,264.37,271.12,263.25,0
04-Jun-2009,264.27,263.80,266.11,262.24,0
