Date,Open Price,Close Price,High Price,Low Price,Volume
02-Jan-2009,3240.75,3349.69,3349.69,3219.55,76923064
05-Jan-2009,3381.28,3359.92,3382.85,3323.12,121291280
06-Jan-2009,3372.78,3396.22,3426.04,3339.29,131786496
07-Jan-2009,3378.99,3346.09,3403.33,3316.60,143934624
08-Jan-2009,3308.64,3324.33,3346.28,3269.80,117238184
09-Jan-2009,3337.84,3299.50,3368.30,3271.03,110150544
12-Jan-2009,3287.58,3246.12,3305.46,3236.47,103393472
13-Jan-2009,3232.25,3197.89,3234.52,3154.29,140367168
14-Jan-2009,3216.88,3052.00,3219.37,3018.06,170760512
15-Jan-2009,3056.95,2995.88,3071.55,2962.56,171376800
16-Jan-2009,3059.21,3016.75,3107.85,3009.50,168809904
19-Jan-2009,3069.92,2989.69,3083.39,2949.64,122394528
20-Jan-2009,2984.81,2925.28,3031.55,2912.53,149771264
21-Jan-2009,2885.09,2905.57,2947.65,2841.87,228844336
22-Jan-2009,2964.66,2869.62,2981.10,2864.74,163124160
23-Jan-2009,2869.23,2849.14,2885.62,2770.09,169838368
26-Jan-2009,2838.74,2955.37,2968.11,2834.54,170960736
27-Jan-2009,2970.45,2954.53,2970.95,2907.64,155556672
28-Jan-2009,2998.35,3076.01,3085.69,2989.68,188188176
29-Jan-2009,3054.15,3009.75,3064.14,2986.01,153131824
30-Jan-2009,2999.46,2973.92,3028.09,2949.39,178904800
02-Feb-2009,2929.19,2930.05,2940.63,2867.68,125600952
03-Feb-2009,2951.31,2982.39,2989.17,2899.22,138869392
04-Feb-2009,3007.96,3068.99,3097.73,2988.45,174172448
05-Feb-2009,3011.13,3066.29,3069.11,2976.59,147302480
06-Feb-2009,3090.08,3122.79,3146.69,3056.92,186071008
09-Feb-2009,3110.60,3134.87,3146.13,3089.77,131155928
10-Feb-2009,3102.30,3020.75,3124.05,3020.75,144477520
11-Feb-2009,2995.75,3027.72,3034.01,2986.21,147214736
12-Feb-2009,3010.48,2964.34,3012.06,2932.41,155609344
13-Feb-2009,3012.18,2997.86,3044.73,2986.28,123697424
16-Feb-2009,2977.17,2962.22,2994.41,2960.77,85249440
17-Feb-2009,2933.36,2875.23,2935.79,2854.76,154159920
18-Feb-2009,2895.29,2874.07,2898.34,2825.48,157285248
19-Feb-2009,2893.05,2872.60,2913.10,2861.15,143819456
20-Feb-2009,2817.47,2750.55,2830.33,2750.55,218620000
23-Feb-2009,2805.67,2727.87,2810.91,2719.30,155360160
24-Feb-2009,2700.42,2708.05,2733.87,2669.50,187506912
25-Feb-2009,2760.12,2696.92,2760.12,2662.73,165198528
26-Feb-2009,2735.84,2744.84,2769.57,2694.77,190428848
27-Feb-2009,2709.56,2702.48,2714.51,2644.19,183103360
02-Mar-2009,2632.92,2581.46,2639.21,2581.46,167976784
03-Mar-2009,2591.11,2554.55,2616.76,2552.31,179845968
04-Mar-2009,2595.89,2675.68,2675.68,2575.40,223360960
05-Mar-2009,2657.82,2569.63,2664.19,2569.63,188173648
06-Mar-2009,2566.30,2534.45,2597.75,2521.46,212593056
09-Mar-2009,2552.99,2519.29,2552.99,2465.46,201029120
10-Mar-2009,2519.43,2663.68,2673.03,2510.24,219862032
11-Mar-2009,2656.94,2674.20,2734.70,2617.44,222468320
12-Mar-2009,2640.44,2694.25,2697.43,2594.73,183179072
13-Mar-2009,2744.41,2705.63,2771.72,2694.59,219402304
16-Mar-2009,2761.54,2791.66,2791.66,2747.29,172676064
