Date,Open Price,Close Price,High Price,Low Price,Volume
02-Jan-2009,2451.69,2536.47,2536.47,2451.69,0
05-Jan-2009,2551.70,2553.41,2563.96,2527.33,0
06-Jan-2009,2558.34,2578.43,2608.15,2542.69,0
07-Jan-2009,2570.87,2538.55,2572.07,2520.61,0
08-Jan-2009,2516.86,2516.56,2532.05,2481.67,0
09-Jan-2009,2524.74,2486.59,2543.83,2466.14,0
12-Jan-2009,2482.79,2451.87,2491.09,2447.59,0
13-Jan-2009,2445.04,2411.28,2445.04,2385.04,0
14-Jan-2009,2420.43,2298.46,2426.29,2274.62,0
15-Jan-2009,2300.83,2257.67,2312.83,2235.30,0
16-Jan-2009,2281.79,2281.45,2343.11,2278.20,0
19-Jan-2009,2302.22,2252.39,2326.45,2222.44,0
20-Jan-2009,2247.39,2200.80,2284.08,2191.68,0
21-Jan-2009,2185.57,2188.43,2223.27,2142.73,0
22-Jan-2009,2208.80,2160.07,2247.56,2150.94,0
23-Jan-2009,2155.10,2147.87,2167.52,2086.09,0
26-Jan-2009,2143.41,2226.77,2241.69,2133.09,0
27-Jan-2009,2231.24,2224.62,2239.15,2191.26,0
28-Jan-2009,2240.11,2322.78,2330.95,2240.11,0
29-Jan-2009,2310.42,2269.40,2313.55,2250.86,0
30-Jan-2009,2263.91,2236.98,2279.49,2221.71,0
02-Feb-2009,2214.75,2198.74,2214.75,2157.29,0
03-Feb-2009,2212.59,2244.89,2248.17,2179.40,0
04-Feb-2009,2254.34,2297.73,2321.42,2243.84,0
05-Feb-2009,2266.64,2293.23,2296.98,2226.60,0
06-Feb-2009,2304.96,2343.66,2355.79,2286.76,0
09-Feb-2009,2336.02,2348.95,2358.44,2316.35,0
10-Feb-2009,2332.50,2268.15,2344.62,2268.15,0
11-Feb-2009,2260.01,2267.90,2275.37,2242.13,0
12-Feb-2009,2258.88,2214.95,2258.88,2192.53,0
13-Feb-2009,2237.10,2228.29,2267.53,2219.96,0
16-Feb-2009,2217.97,2193.64,2222.12,2193.18,0
17-Feb-2009,2176.76,2119.98,2176.76,2109.00,0
18-Feb-2009,2129.34,2118.47,2136.36,2077.49,0
19-Feb-2009,2125.79,2114.84,2145.50,2107.92,0
20-Feb-2009,2098.40,2011.68,2098.40,2011.68,0
23-Feb-2009,2033.27,1991.63,2063.04,1984.07,0
24-Feb-2009,1980.84,1977.50,1994.31,1945.28,0
25-Feb-2009,1993.39,1965.26,2018.51,1937.15,0
26-Feb-2009,1986.32,2021.14,2038.22,1978.83,0
27-Feb-2009,2005.62,1976.23,2005.62,1939.32,0
02-Mar-2009,1963.79,1882.79,1963.79,1882.79,0
03-Mar-2009,1886.70,1864.73,1906.51,1862.67,0
04-Mar-2009,1883.69,1943.46,1943.46,1883.69,0
05-Mar-2009,1934.06,1852.25,1934.06,1852.25,0
06-Mar-2009,1851.16,1817.24,1868.37,1807.56,0
09-Mar-2009,1823.25,1809.98,1823.25,1765.49,0
10-Mar-2009,1812.78,1919.53,1925.94,1804.09,0
11-Mar-2009,1920.26,1932.79,1982.32,1889.13,0
12-Mar-2009,1917.66,1962.64,1966.41,1877.79,0
13-Mar-2009,1974.64,1969.52,2016.78,1961.58,0
16-Mar-2009,1987.83,2033.72,2034.87,1987.83,0
17-Mar-2009,2022.96,2012.25,2032.47,1984.03,0
18-Mar-2009,2021.45,2019.19,2052.47,1988.78,0
19-Mar-2009,2025.71,2039.58,2087.77,2024.49,0
20-Mar-2009,2028.92,2050.96,2055.01,2006.25,0
23-Mar-2009,2061.50,2121.72,2124.46,2061.50,0
24-Mar-2009,2129.39,2127.37,2158.75,2105.59,0
25-Mar-2009,2119.23,2149.18,2167.29,2106.89,0
26-Mar-2009,2150.77,2156.97,2159.54,2130.03,0
27-Mar-2009,2156.42,2118.76,2163.05,2103.99,0
30-Mar-2009,2103.96,2010.61,2103.96,2010.61,0
31-Mar-2009,2019.15,2071.13,2071.36,2019.15,0
01-Apr-2009,2065.49,2097.57,2103.39,2021.53,0
02-Apr-2009,2111.64,2216.49,2222.35,2111.64,0
03-Apr-2009,2209.75,2198.75,2239.61,2186.82,0
06-Apr-2009,2211.37,2179.73,2242.18,2158.11,0
07-Apr-2009,2181.63,2165.56,2193.58,2139.73,0
08-Apr-2009,2148.68,2186.79,2192.94,2122.50,0
09-Apr-2009,2199.32,2247.89,2256.93,2195.15,0
14-Apr-2009,2253.22,2278.65,2298.91,2243.95,0
15-Apr-2009,2262.81,2262.96,2276.60,2242.59,0
16-Apr-2009,2269.19,2300.51,2317.85,2255.15,0
17-Apr-2009,2305.23,2341.15,2341.15,2294.27,0
20-Apr-2009,2337.43,2249.44,2342.33,2240.84,0
21-Apr-2009,2245.17,2243.63,2271.09,2186.03,0
22-Apr-2009,2242.34,2285.69,2287.02,2218.32,0
23-Apr-2009,2266.65,2259.54,2297.87,2250.68,0
24-Apr-2009,2262.64,2319.89,2319.89,2261.76,0
27-Apr-2009,2302.94,2317.36,2322.59,2269.49,0
28-Apr-2009,2299.32,2280.52,2301.74,2250.52,0
29-Apr-2009,2287.41,2334.59,2343.64,2287.41,0
30-Apr-2009,2342.64,2375.34,2400.69,2342.64,0
04-May-2009,2376.04,2419.53,2422.36,2372.60,0
05-May-2009,2421.27,2407.55,2437.86,2399.09,0
06-May-2009,2399.73,2437.27,2460.77,2394.33,0
07-May-2009,2444.59,2406.08,2488.93,2399.93,0
08-May-2009,2419.05,2462.39,2483.44,2419.05,0
11-May-2009,2462.41,2433.59,2465.76,2413.23,0
12-May-2009,2421.65,2424.34,2453.33,2406.51,0
13-May-2009,2427.20,2357.30,2438.52,2353.29,0
14-May-2009,2352.62,2353.53,2361.31,2319.05,0
15-May-2009,2364.53,2364.10,2379.90,2336.99,0
18-May-2009,2343.45,2422.74,2422.74,2318.26,0
19-May-2009,2433.18,2459.59,2475.03,2433.18,0
