Date,Open Price,Close Price,High Price,Low Price,Volume
02-Jan-2009,8772.25,9034.69,9065.28,8760.78,213703328
05-Jan-2009,9027.13,8952.89,9034.37,8892.36,233756608
06-Jan-2009,8954.57,9015.10,9088.06,8940.95,215412080
07-Jan-2009,8996.94,8769.70,8996.94,8719.92,266710352
08-Jan-2009,8769.94,8742.46,8770.02,8651.19,226623872
09-Jan-2009,8738.80,8599.18,8769.62,8576.96,204295328
12-Jan-2009,8599.26,8473.97,8602.60,8421.08,273548064
13-Jan-2009,8474.61,8448.56,8522.08,8376.88,304050112
14-Jan-2009,8446.01,8200.14,8446.25,8140.72,355053408
15-Jan-2009,8196.24,8212.49,8286.16,7995.13,436663168
16-Jan-2009,8215.67,8281.22,8341.20,8109.34,439358816
20-Jan-2009,8279.63,7949.09,8291.98,7939.93,419199616
21-Jan-2009,7949.17,8228.10,8243.55,7936.19,410036928
22-Jan-2009,8224.43,8122.80,8224.83,7957.14,420040768
23-Jan-2009,8108.79,8077.56,8152.59,7909.03,370506112
26-Jan-2009,8078.04,8116.03,8231.68,8023.16,316716768
27-Jan-2009,8117.39,8174.73,8225.79,8083.14,247747312
28-Jan-2009,8175.93,8375.45,8405.87,8175.93,357935936
29-Jan-2009,8373.06,8149.01,8373.14,8137.94,247446432
30-Jan-2009,8149.01,8000.86,8195.76,7961.92,303156256
02-Feb-2009,8000.62,7936.83,8000.62,7867.37,293877792
03-Feb-2009,7936.99,8078.36,8111.57,7905.52,313086560
04-Feb-2009,8070.32,7956.66,8162.15,7929.26,345515904
05-Feb-2009,7954.83,8063.07,8107.83,7845.31,390974368
06-Feb-2009,8056.38,8280.59,8312.37,8052.24,396377408
09-Feb-2009,8281.38,8270.87,8315.07,8196.24,289279008
10-Feb-2009,8269.36,7888.88,8269.44,7848.74,449893568
11-Feb-2009,7887.05,7939.53,7983.74,7852.16,270283840
12-Feb-2009,7931.97,7932.76,7938.82,7693.98,331956640
13-Feb-2009,7933.00,7850.41,7970.84,7840.45,251958208
17-Feb-2009,7845.63,7552.60,7845.63,7551.01,332848416
18-Feb-2009,7546.35,7555.63,7617.76,7479.97,268217280
19-Feb-2009,7555.23,7465.95,7614.97,7447.55,301476544
20-Feb-2009,7461.49,7365.67,7469.29,7249.47,584899392
23-Feb-2009,7365.99,7114.78,7441.02,7105.94,406147488
24-Feb-2009,7115.34,7350.94,7378.97,7114.30,468014528
25-Feb-2009,7349.58,7270.89,7404.94,7156.68,450271168
26-Feb-2009,7269.06,7182.08,7402.31,7173.56,321301920
27-Feb-2009,7180.97,7062.93,7195.46,7033.62,667954048
02-Mar-2009,7056.48,6763.29,7058.95,6755.17,568668608
03-Mar-2009,6764.81,6726.02,6855.29,6705.63,445283264
04-Mar-2009,6726.50,6875.84,6979.22,6726.42,464828096
05-Mar-2009,6874.01,6594.44,6874.01,6544.10,509770688
06-Mar-2009,6595.16,6626.94,6755.17,6469.95,425166784
09-Mar-2009,6625.74,6547.05,6709.61,6516.86,365989280
10-Mar-2009,6547.01,6926.49,6926.49,6546.61,640023808
11-Mar-2009,6923.13,6930.40,7015.06,6867.55,524426848
12-Mar-2009,6932.39,7170.06,7184.71,6872.25,488687552
13-Mar-2009,7167.35,7223.98,7242.62,7105.86,479009792
16-Mar-2009,7225.33,7216.97,7392.91,7206.85,586973824
17-Mar-2009,7218.00,7395.70,7396.81,7172.05,391883040
18-Mar-2009,7395.70,7486.58,7571.64,7257.27,584112512
19-Mar-2009,7489.68,7400.80,7548.46,7369.26,559917504
20-Mar-2009,7402.31,7278.38,7460.93,7257.83,672952640
23-Mar-2009,7279.25,7775.86,7780.72,7278.78,515597024
24-Mar-2009,7773.47,7659.97,7796.57,7646.99,379506752
25-Mar-2009,7659.81,7749.81,7863.63,7550.06,454092160
26-Mar-2009,7752.36,7924.56,7931.33,7752.28,397262112
27-Mar-2009,7922.57,7776.18,7922.57,7735.95,323645088
30-Mar-2009,7773.31,7522.02,7773.39,7437.59,383260000
31-Mar-2009,7523.77,7608.92,7725.36,7523.45,399840736
01-Apr-2009,7606.13,7761.60,7789.00,7483.87,361336672
02-Apr-2009,7763.99,7978.08,8075.73,7763.99,442817568
03-Apr-2009,7980.63,8017.59,8019.50,7897.24,308209792
06-Apr-2009,8016.16,7975.85,8016.16,7862.20,247403520
07-Apr-2009,7968.92,7789.56,7969.08,7762.08,276924032
08-Apr-2009,7788.68,7837.11,7887.52,7750.85,255350624
09-Apr-2009,7839.89,8083.38,8087.28,7839.89,462064224
13-Apr-2009,8082.02,8057.81,8113.41,7963.75,424246560
14-Apr-2009,8057.41,7920.18,8057.41,7902.26,513009504
15-Apr-2009,7914.92,8029.62,8041.32,7870.48,413275520
16-Apr-2009,8029.14,8125.43,8168.12,7962.71,359473600
17-Apr-2009,8125.43,8131.33,8190.66,8086.88,537674432
20-Apr-2009,8128.94,7841.73,8128.94,7840.45,453661248
21-Apr-2009,7841.73,7969.56,7979.20,7791.95,424027776
22-Apr-2009,7964.78,7886.57,8044.83,7868.01,387027072
23-Apr-2009,7886.81,7957.06,7979.44,7804.21,327239968
24-Apr-2009,7957.45,8076.29,8127.50,7957.45,402723200
27-Apr-2009,8073.82,8025.00,8122.56,7987.16,282994592
28-Apr-2009,8023.56,8016.95,8091.66,7938.98,274713152
29-Apr-2009,8018.31,8185.73,8257.57,8017.91,300335200
30-Apr-2009,8188.51,8168.12,8307.51,8136.90,341401024
01-May-2009,8167.41,8212.41,8219.81,8099.31,237360400
04-May-2009,8213.60,8426.74,8434.86,8213.60,354488032
05-May-2009,8425.55,8410.65,8458.12,8362.78,311489952
06-May-2009,8403.48,8512.28,8518.57,8403.00,454484672
07-May-2009,8513.56,8409.85,8577.19,8358.00,476636672
08-May-2009,8410.73,8574.65,8587.55,8410.73,428422880
11-May-2009,8569.23,8418.77,8569.23,8410.33,332633152
12-May-2009,8419.17,8469.11,8517.46,8365.65,334835680
13-May-2009,8461.80,8284.89,8462.04,8262.43,336929376
14-May-2009,8285.92,8331.32,8376.64,8273.90,323796128
15-May-2009,8326.22,8268.64,8394.96,8230.17,308820864
18-May-2009,8270.15,8504.08,8511.88,8270.15,308820864
19-May-2009,8502.48,8474.85,8538.01,8463.54,277714848
20-May-2009,8471.82,8422.04,8591.93,8405.47,468638144
21-May-2009,8416.07,8292.13,8416.15,8221.01,302284032
22-May-2009,8292.21,8277.32,8364.14,8257.17,244188816
26-May-2009,8275.33,8473.49,8495.71,8226.90,314758880
27-May-2009,8473.65,8300.02,8496.59,8289.35,285988480
28-May-2009,8300.50,8403.80,8434.62,8246.58,290734560
29-May-2009,8404.04,8500.33,8522.95,8368.52,361905792
01-Jun-2009,8501.53,8721.44,8760.70,8501.29,354833760
02-Jun-2009,8721.60,8740.87,8787.13,8693.72,257555552
03-Jun-2009,8740.07,8675.28,8740.39,8598.38,252155808
04-Jun-2009,8665.72,8750.24,8751.25,8634.57,237795216
05-Jun-2009,8751.75,8763.13,8839.40,8700.41,254968272
08-Jun-2009,8759.35,8764.49,8823.97,8633.07,189630112
09-Jun-2009,8764.83,8763.06,8803.26,8725.12,187934800
10-Jun-2009,8763.66,8739.02,8834.93,8639.95,219918992
11-Jun-2009,8736.23,8770.92,8877.93,8736.23,249902400
12-Jun-2009,8770.01,8799.26,8805.53,8716.73,164016224
15-Jun-2009,8798.50,8612.13,8798.50,8577.90,230222384
16-Jun-2009,8612.44,8504.67,8643.65,8499.38,240692352
17-Jun-2009,8504.36,8497.18,8563.01,8461.29,237869088
18-Jun-2009,8496.73,8555.60,8590.52,8475.12,220052656
19-Jun-2009,8556.96,8539.73,8616.59,8496.73,528713984
22-Jun-2009,8538.52,8339.01,8538.83,8334.55,291244544
23-Jun-2009,8340.44,8322.91,8370.90,8286.41,237150512
24-Jun-2009,8323.51,8299.86,8428.41,8259.88,189427424
25-Jun-2009,8299.25,8472.40,8490.46,8259.43,222544432
26-Jun-2009,8468.54,8438.39,8468.77,8401.36,307644544
29-Jun-2009,8440.13,8529.38,8533.23,8429.09,216480784
30-Jun-2009,8528.93,8447.00,8560.44,8393.95,233343168
01-Jul-2009,8447.53,8504.06,8580.47,8447.53,184598464
02-Jul-2009,8503.00,8280.74,8503.23,8280.74,157795968
06-Jul-2009,8279.30,8324.87,8327.97,8205.99,206904912
07-Jul-2009,8324.95,8163.60,8326.31,8154.38,210875264
08-Jul-2009,8157.02,8178.41,8219.52,8087.19,325253216
09-Jul-2009,8179.01,8183.17,8228.67,8145.31,192660944
10-Jul-2009,8182.49,8146.52,8183.85,8093.31,174256128
13-Jul-2009,8146.82,8331.68,8331.68,8130.42,253519520
14-Jul-2009,8331.37,8359.49,8361.23,8285.20,189165968
15-Jul-2009,8363.95,8616.21,8628.23,8363.95,304995552
16-Jul-2009,8612.66,8711.82,8739.55,8584.40,216579696
17-Jul-2009,8711.89,8743.94,8754.29,8674.41,301413216
20-Jul-2009,8746.05,8848.15,8854.80,8745.90,213730896
21-Jul-2009,8848.15,8915.94,8927.13,8811.27,218906256
22-Jul-2009,8912.39,8881.26,8949.80,8860.32,199007248
23-Jul-2009,8882.31,9069.29,9096.72,8866.44,274761472
24-Jul-2009,9066.11,9093.24,9100.88,9007.39,214306672
27-Jul-2009,9093.09,9108.51,9123.40,9034.52,176836208
28-Jul-2009,9106.92,9096.72,9124.91,9007.47,198271824
29-Jul-2009,9092.34,9070.72,9094.83,9014.19,190509328
30-Jul-2009,9072.84,9154.46,9246.43,9072.61,232412368
31-Jul-2009,9154.61,9171.61,9218.77,9133.45,265574368
03-Aug-2009,9173.65,9286.56,9298.43,9173.65,221688368
04-Aug-2009,9285.05,9320.19,9321.10,9250.74,195986240
05-Aug-2009,9315.36,9280.97,9318.08,9206.45,236614640
06-Aug-2009,9277.19,9256.26,9325.11,9208.80,244445376
07-Aug-2009,9258.45,9370.07,9437.71,9258.45,216596800
10-Aug-2009,9368.41,9337.95,9371.96,9290.34,161365312
11-Aug-2009,9334.33,9241.45,9334.33,9216.88,171375168
12-Aug-2009,9236.06,9361.61,9424.11,9221.02,197420816
13-Aug-2009,9362.29,9398.19,9406.50,9305.31,145615904
14-Aug-2009,9398.04,9321.40,9401.97,9232.83,172778704
17-Aug-2009,9313.85,9135.34,9313.85,9116.52,207096672
18-Aug-2009,9134.36,9217.94,9233.51,9134.36,158533040
