Date,Open Price,Close Price,High Price,Low Price,Volume
02-Jan-2009,19704.00,19953.00,19953.00,19436.00,1
05-Jan-2009,20160.00,20262.00,20262.00,19953.00,1
06-Jan-2009,20327.00,20729.00,20996.00,20262.00,1
07-Jan-2009,20729.00,20606.00,20858.00,20471.00,1
08-Jan-2009,20371.00,20630.00,20671.00,20282.00,1
09-Jan-2009,20700.00,20093.00,20700.00,20055.00,1
12-Jan-2009,19992.00,19911.00,20204.00,19856.00,1
13-Jan-2009,19819.00,19455.00,19911.00,19289.00,1
14-Jan-2009,19652.00,18763.00,19652.00,18562.00,1
15-Jan-2009,18745.00,18402.00,18900.00,18306.00,1
16-Jan-2009,18833.00,18703.00,18908.00,18402.00,1
19-Jan-2009,18886.00,18367.00,19027.00,18165.00,1
20-Jan-2009,18384.00,18024.00,18526.00,17952.00,1
21-Jan-2009,17956.00,17684.00,18026.00,17473.00,1
22-Jan-2009,18018.00,17369.00,18110.00,17253.00,1
23-Jan-2009,17254.00,17283.00,17378.00,16716.00,1
26-Jan-2009,17195.00,17797.00,17865.00,17139.00,1
27-Jan-2009,17845.00,17739.00,17845.00,17482.00,1
28-Jan-2009,17939.00,18341.00,18453.00,17739.00,1
29-Jan-2009,18241.00,18092.00,18354.00,17863.00,1
30-Jan-2009,18039.00,17934.00,18264.00,17800.00,1
02-Feb-2009,17758.00,17467.00,17934.00,17325.00,1
03-Feb-2009,17614.00,17669.00,17670.00,17275.00,1
04-Feb-2009,17786.00,18015.00,18211.00,17652.00,1
05-Feb-2009,17723.00,18013.00,18056.00,17579.00,1
06-Feb-2009,18160.00,18434.00,18473.00,18013.00,1
09-Feb-2009,18305.00,18663.00,18726.00,18264.00,1
10-Feb-2009,18488.00,18252.00,18744.00,18153.00,1
11-Feb-2009,18030.00,18074.00,18252.00,17924.00,1
12-Feb-2009,17988.00,17669.00,18074.00,17487.00,1
13-Feb-2009,17890.00,17731.00,18073.00,17648.00,1
16-Feb-2009,17604.00,17410.00,17731.00,17396.00,1
17-Feb-2009,17279.00,16726.00,17410.00,16712.00,1
18-Feb-2009,16824.00,16580.00,16824.00,16267.00,1
19-Feb-2009,16630.00,16501.00,16671.00,16371.00,1
20-Feb-2009,16193.00,15530.00,16501.00,15530.00,1
23-Feb-2009,15860.00,15391.00,16010.00,15284.00,1
24-Feb-2009,15130.00,15436.00,15540.00,15018.00,1
25-Feb-2009,15757.00,15218.00,15757.00,15079.00,1
26-Feb-2009,15390.00,15664.00,15726.00,15218.00,1
27-Feb-2009,15407.00,15282.00,15664.00,15047.00,1
02-Mar-2009,14902.00,14362.00,15282.00,14362.00,1
03-Mar-2009,14414.00,14017.00,14419.00,13941.00,1
04-Mar-2009,14192.00,14363.00,14377.00,14017.00,1
05-Mar-2009,14234.00,13523.00,14363.00,13501.00,1
06-Mar-2009,13447.00,12895.00,13523.00,12844.00,1
09-Mar-2009,13032.00,12621.00,13032.00,12332.00,1
10-Mar-2009,12639.00,13503.00,13503.00,12611.00,1
11-Mar-2009,13481.00,13568.00,14025.00,13326.00,1
12-Mar-2009,13486.00,13921.00,13935.00,13290.00,1
13-Mar-2009,14198.00,13804.00,14303.00,13741.00,1
16-Mar-2009,14162.00,14158.00,14297.00,13804.00,1
17-Mar-2009,14162.00,14082.00,14162.00,13818.00,1
18-Mar-2009,14380.00,14473.00,14532.00,14082.00,1
19-Mar-2009,14629.00,14749.00,15252.00,14473.00,1
20-Mar-2009,14646.00,14948.00,15031.00,14509.00,1
23-Mar-2009,15278.00,15811.00,15811.00,14948.00,1
24-Mar-2009,16135.00,15837.00,16177.00,15642.00,1
25-Mar-2009,15779.00,16263.00,16340.00,15779.00,1
26-Mar-2009,16335.00,16483.00,16483.00,16175.00,1
27-Mar-2009,16555.00,16343.00,16614.00,16188.00,1
