Date,Open Price,Close Price,High Price,Low Price,Volume
02-Jan-2009,6360.77,6627.17,6627.17,6360.77,153270544
05-Jan-2009,6627.07,6745.17,6819.84,6627.07,283165632
06-Jan-2009,6744.72,6879.01,6895.87,6740.76,303598976
07-Jan-2009,6878.95,6762.30,6878.95,6736.28,322598816
08-Jan-2009,6762.68,6692.25,6762.68,6599.25,299359456
09-Jan-2009,6691.95,6653.88,6763.83,6646.17,313924736
12-Jan-2009,6653.99,6685.99,6708.78,6648.26,245623056
13-Jan-2009,6686.31,6547.29,6686.31,6484.46,295232608
14-Jan-2009,6547.34,6363.59,6583.76,6280.68,367184832
15-Jan-2009,6363.40,6204.97,6363.40,6154.55,368748736
16-Jan-2009,6204.61,6249.60,6351.82,6204.61,290286016
19-Jan-2009,6250.09,6215.49,6389.34,6146.99,239506928
20-Jan-2009,6216.25,6142.06,6280.53,6106.76,319243360
21-Jan-2009,6142.49,6159.50,6181.65,6042.41,392337920
22-Jan-2009,6159.25,6167.13,6268.46,6144.54,372770592
23-Jan-2009,6167.31,6088.13,6167.31,6023.29,373336448
26-Jan-2009,6088.63,6256.22,6256.22,6073.90,307778912
27-Jan-2009,6255.71,6258.57,6270.38,6179.97,330806240
28-Jan-2009,6258.59,6423.76,6435.36,6258.59,338162304
29-Jan-2009,6424.09,6272.61,6424.09,6198.80,300059488
30-Jan-2009,6272.44,6250.76,6322.89,6195.52,345163424
02-Feb-2009,6250.96,6052.38,6250.96,6040.20,253570688
03-Feb-2009,6052.32,6130.77,6155.84,6037.79,317248928
04-Feb-2009,6130.87,6321.81,6367.22,6130.87,368891584
05-Feb-2009,6321.99,6391.15,6391.15,6240.96,326419488
06-Feb-2009,6390.90,6561.67,6604.73,6365.68,400216896
09-Feb-2009,6561.75,6659.68,6670.36,6546.52,299694080
10-Feb-2009,6659.61,6495.66,6659.61,6495.66,321596864
11-Feb-2009,6496.02,6496.28,6527.85,6430.64,277510720
12-Feb-2009,6496.31,6501.88,6501.88,6400.11,322236288
13-Feb-2009,6501.54,6526.38,6622.85,6487.99,292149056
16-Feb-2009,6526.62,6461.87,6526.62,6452.28,147614128
17-Feb-2009,6461.89,6265.71,6461.89,6247.89,282092704
18-Feb-2009,6265.70,6245.77,6275.99,6144.81,310247904
19-Feb-2009,6245.63,6217.86,6302.61,6201.00,301962208
20-Feb-2009,6218.01,6008.82,6218.01,6008.82,427654720
23-Feb-2009,6008.73,5919.34,6076.51,5907.82,357222016
24-Feb-2009,5919.41,5905.75,5919.41,5718.13,371554048
25-Feb-2009,5905.66,6042.15,6125.56,5905.66,387389568
26-Feb-2009,6042.34,6123.75,6158.78,6042.34,389626976
27-Feb-2009,6123.93,6049.14,6123.93,5978.32,391284256
02-Mar-2009,6048.95,5860.46,6048.95,5860.46,286849216
03-Mar-2009,5860.29,5850.73,5974.17,5832.48,544361344
04-Mar-2009,5850.62,6083.51,6087.84,5850.62,465747584
05-Mar-2009,6083.46,5935.37,6083.46,5935.37,384956928
