Date,Open Price,Close Price,High Price,Low Price,Volume
02-Jan-2009,2268.07,2336.38,2336.38,2267.99,56056600
05-Jan-2009,2336.38,2348.88,2360.96,2321.36,111984168
06-Jan-2009,2348.87,2380.97,2396.93,2342.25,134091496
07-Jan-2009,2380.96,2316.35,2380.96,2302.08,138271008
08-Jan-2009,2316.36,2312.83,2317.42,2266.87,122371192
09-Jan-2009,2312.82,2285.31,2327.88,2277.89,129489240
12-Jan-2009,2285.31,2276.18,2295.89,2264.51,103220800
13-Jan-2009,2276.19,2258.76,2276.19,2221.79,125995240
14-Jan-2009,2258.76,2151.65,2269.69,2121.14,167604672
15-Jan-2009,2151.65,2118.57,2158.91,2103.62,161726432
16-Jan-2009,2118.56,2132.11,2183.74,2118.56,167738224
19-Jan-2009,2132.13,2113.13,2184.35,2075.87,211924752
20-Jan-2009,2113.15,2102.65,2150.11,2087.62,239920704
21-Jan-2009,2102.67,2088.76,2113.56,2058.14,265772400
22-Jan-2009,2088.75,2085.50,2134.68,2082.86,198812384
23-Jan-2009,2085.51,2082.81,2091.20,2037.11,188416784
26-Jan-2009,2082.82,2160.88,2167.01,2076.62,183266160
27-Jan-2009,2160.86,2154.24,2161.25,2122.57,159545456
28-Jan-2009,2154.24,2206.53,2217.20,2154.24,208041040
29-Jan-2009,2206.54,2152.76,2206.54,2130.97,168772672
30-Jan-2009,2152.75,2133.34,2171.45,2122.00,184122608
02-Feb-2009,2133.35,2093.20,2133.35,2077.17,118280640
03-Feb-2009,2093.20,2135.91,2140.26,2076.89,140259216
04-Feb-2009,2135.91,2172.22,2187.69,2135.55,156640048
05-Feb-2009,2172.23,2174.83,2176.32,2127.92,154290816
06-Feb-2009,2174.82,2209.86,2227.79,2174.82,181273968
09-Feb-2009,2209.86,2220.58,2232.75,2189.07,146844480
10-Feb-2009,2220.58,2171.22,2220.58,2170.88,143502160
11-Feb-2009,2171.23,2181.00,2184.61,2155.47,125528120
12-Feb-2009,2181.00,2166.44,2181.00,2131.89,164906304
