Date,Open Price,Close Price,High Price,Low Price,Volume
02-Jan-2009,14448.22,15042.81,15042.81,14412.12,0
05-Jan-2009,15349.33,15563.31,15563.31,15128.32,0
06-Jan-2009,15612.47,15509.51,15651.61,15367.93,0
07-Jan-2009,15759.53,14987.46,15763.55,14976.74,0
08-Jan-2009,14755.81,14415.91,14755.81,14334.15,0
09-Jan-2009,14530.83,14377.44,14673.60,14297.41,0
12-Jan-2009,14312.26,13971.00,14312.26,13895.04,0
13-Jan-2009,13930.27,13668.05,14118.93,13644.54,0
14-Jan-2009,13807.03,13704.61,14019.03,13674.96,0
15-Jan-2009,13136.23,13242.96,13300.75,12904.05,0
16-Jan-2009,13278.97,13255.51,13423.24,13113.45,0
19-Jan-2009,13414.09,13339.99,13519.18,13097.50,0
20-Jan-2009,12854.40,12959.77,13160.87,12816.25,0
21-Jan-2009,12534.60,12583.63,12762.54,12439.13,0
22-Jan-2009,12844.37,12657.99,12895.25,12657.10,0
23-Jan-2009,12542.01,12578.60,12734.80,12469.84,0
29-Jan-2009,13560.07,13154.43,13560.07,13109.27,0
30-Jan-2009,12958.08,13278.21,13390.12,12899.57,0
02-Feb-2009,13194.00,12861.49,13239.50,12733.35,0
03-Feb-2009,12991.49,12776.89,13065.97,12729.04,0
04-Feb-2009,13029.42,13063.89,13108.74,12975.30,0
05-Feb-2009,13084.79,13178.90,13492.53,13018.64,0
06-Feb-2009,13535.76,13655.04,13660.24,13322.62,0
09-Feb-2009,13865.59,13769.06,13865.59,13561.54,0
10-Feb-2009,13787.12,13880.64,13976.31,13663.41,0
11-Feb-2009,13546.14,13539.21,13600.02,13363.06,0
12-Feb-2009,13439.58,13228.30,13478.66,13174.01,0
13-Feb-2009,13314.81,13554.67,13576.32,13314.02,0
16-Feb-2009,13559.82,13455.88,13559.82,13257.35,0
17-Feb-2009,13195.51,12945.40,13195.51,12933.91,0
18-Feb-2009,12783.79,13016.00,13031.28,12712.33,0
19-Feb-2009,12873.10,13023.36,13055.72,12788.08,0
20-Feb-2009,12719.14,12699.17,12816.79,12669.57,0
23-Feb-2009,12777.96,13175.10,13207.98,12777.96,0
24-Feb-2009,12789.29,12798.52,12814.37,12634.84,0
25-Feb-2009,12979.86,13005.08,13148.31,12858.28,0
26-Feb-2009,13070.41,12894.94,13071.58,12691.96,0
27-Feb-2009,12929.99,12811.57,13032.30,12799.81,0
02-Mar-2009,12522.61,12317.46,12576.45,12296.86,0
03-Mar-2009,11967.07,12033.88,12192.35,11849.17,0
04-Mar-2009,11880.17,12331.15,12423.69,11880.17,0
05-Mar-2009,12488.33,12211.24,12488.33,12163.55,0
06-Mar-2009,12041.82,11921.52,12146.16,11921.52,0
09-Mar-2009,11872.46,11344.58,11927.89,11344.58,0
10-Mar-2009,11542.88,11694.05,11747.11,11542.88,0
11-Mar-2009,12228.22,11930.66,12228.22,11904.61,0
12-Mar-2009,11905.47,12001.53,12040.84,11848.50,0
13-Mar-2009,12395.18,12525.80,12525.80,12303.70,0
16-Mar-2009,12657.87,12976.71,12976.71,12615.45,0
17-Mar-2009,12948.85,12878.09,13226.31,12854.05,0
18-Mar-2009,13052.95,13117.17,13167.20,13020.80,0
19-Mar-2009,13205.17,13130.92,13205.17,12947.90,0
20-Mar-2009,13157.90,12833.51,13157.90,12797.10,0
23-Mar-2009,13001.55,13447.42,13451.02,13001.55,0
24-Mar-2009,13773.17,13910.34,13952.98,13538.16,0
25-Mar-2009,13754.77,13622.11,13892.88,13567.45,0
26-Mar-2009,13821.28,14108.98,14132.09,13819.10,0
27-Mar-2009,14257.56,14119.50,14257.56,13955.66,0
30-Mar-2009,13893.15,13456.33,13893.15,13413.48,0
31-Mar-2009,13545.36,13576.02,13696.69,13428.31,0
01-Apr-2009,13746.18,13519.54,13788.41,13411.79,0
02-Apr-2009,13963.34,14521.97,14533.34,13953.56,0
03-Apr-2009,14547.52,14545.69,14644.82,14392.19,0
06-Apr-2009,14920.84,14998.04,15147.06,14778.51,0
07-Apr-2009,14922.09,14928.97,14994.76,14743.71,0
08-Apr-2009,14715.70,14474.86,14715.70,14276.35,0
09-Apr-2009,14677.85,14901.41,14987.41,14656.16,0
14-Apr-2009,15302.14,15580.16,15596.34,15140.39,0
15-Apr-2009,15344.59,15669.62,15669.85,15213.39,0
16-Apr-2009,15928.82,15582.99,15977.13,15517.39,0
17-Apr-2009,15956.46,15601.27,15956.46,15541.31,0
20-Apr-2009,15574.32,15750.91,15878.40,15382.96,0
21-Apr-2009,15065.59,15285.89,15332.27,15065.59,0
22-Apr-2009,15328.83,14878.45,15396.28,14830.59,0
23-Apr-2009,14958.24,15214.46,15222.20,14867.59,0
24-Apr-2009,15217.37,15258.85,15367.48,15062.29,0
27-Apr-2009,15160.69,14840.42,15160.69,14798.90,0
28-Apr-2009,15057.25,14555.11,15078.63,14457.99,0
29-Apr-2009,14767.92,14956.95,14983.66,14714.51,0
30-Apr-2009,15369.11,15520.99,15587.29,15204.10,0
04-May-2009,15869.28,16381.05,16387.12,15855.24,0
05-May-2009,16572.00,16430.08,16580.54,16295.86,0
06-May-2009,16348.76,16834.57,16885.92,16268.03,0
07-May-2009,17278.31,17217.89,17327.52,16880.60,0
08-May-2009,17149.31,17389.87,17442.96,16970.20,0
11-May-2009,17381.00,17087.95,17685.64,17032.44,0
12-May-2009,16996.21,17153.64,17239.65,16908.06,0
13-May-2009,17097.82,17059.62,17372.15,17014.86,0
14-May-2009,16630.33,16541.69,16630.33,16422.28,0
15-May-2009,16818.81,16790.70,16953.41,16736.18,0
18-May-2009,16468.71,17022.91,17062.49,16334.36,0
19-May-2009,17454.23,17544.03,17588.93,17376.43,0
20-May-2009,17486.39,17475.84,17611.00,17362.37,0
21-May-2009,17291.44,17199.49,17415.26,17172.64,0
22-May-2009,17169.57,17062.52,17299.26,16740.27,0
25-May-2009,16999.05,17121.82,17264.42,16789.00,0
26-May-2009,17050.34,16991.56,17283.89,16977.71,0
27-May-2009,17395.61,17885.27,17984.02,17347.89,0
29-May-2009,18027.93,18171.00,18227.79,17833.74,0
01-Jun-2009,18499.92,18888.59,18895.80,18415.41,0
02-Jun-2009,18916.61,18389.08,18916.61,18300.62,0
03-Jun-2009,18616.94,18576.47,18967.39,18508.30,0
04-Jun-2009,18417.90,18502.77,18522.39,18108.80,0
05-Jun-2009,18674.48,18679.53,18722.49,18406.86,0
08-Jun-2009,18521.79,18253.39,18636.15,18236.05,0
09-Jun-2009,18450.64,18058.49,18475.51,17710.45,0
10-Jun-2009,18339.91,18785.66,18789.85,18258.16,0
11-Jun-2009,18578.89,18791.03,18883.24,18564.87,0
12-Jun-2009,19034.79,18889.68,19161.97,18707.19,0
15-Jun-2009,18712.06,18498.96,18872.74,18433.30,0
16-Jun-2009,18235.97,18165.50,18314.96,17859.74,0
17-Jun-2009,17984.83,18084.60,18255.13,17833.77,0
18-Jun-2009,17955.68,17776.66,18069.76,17655.82,0
19-Jun-2009,17936.33,17920.93,18015.11,17759.86,0
22-Jun-2009,17906.39,18059.55,18398.92,17906.39,0
23-Jun-2009,17577.73,17538.37,17682.87,17375.96,0
24-Jun-2009,17583.35,17892.15,17912.07,17484.06,0
25-Jun-2009,18140.16,18275.03,18340.91,18069.37,0
26-Jun-2009,18408.37,18600.26,18688.11,18360.71,0
29-Jun-2009,18561.11,18528.51,18687.36,18451.76,0
30-Jun-2009,18883.24,18378.73,18883.24,18364.81,0
02-Jul-2009,18780.96,18178.05,18780.96,18053.10,0
03-Jul-2009,17961.18,18203.40,18234.24,17894.81,0
06-Jul-2009,18020.10,17979.41,18258.26,17897.68,0
07-Jul-2009,17943.49,17862.27,18159.99,17821.71,0
08-Jul-2009,17652.98,17721.07,17819.31,17493.62,0
09-Jul-2009,17793.61,17790.59,17836.95,17509.28,0
10-Jul-2009,17800.05,17708.42,17851.22,17645.55,0
13-Jul-2009,17612.45,17254.63,17612.45,17185.96,0
14-Jul-2009,17631.67,17885.73,17896.36,17581.43,0
15-Jul-2009,18042.59,18258.66,18289.00,18030.10,0
16-Jul-2009,18688.87,18361.87,18700.60,18303.58,0
17-Jul-2009,18551.91,18805.66,18855.86,18457.42,0
20-Jul-2009,19005.19,19502.37,19506.42,18960.54,0
21-Jul-2009,19601.86,19501.73,19601.86,19295.23,0
22-Jul-2009,19560.42,19248.17,19641.75,19224.05,0
23-Jul-2009,19431.92,19817.70,19824.18,19415.37,0
24-Jul-2009,20063.93,19982.79,20063.93,19715.15,0
27-Jul-2009,20170.73,20251.62,20385.69,20096.17,0
28-Jul-2009,20261.94,20624.54,20664.48,20109.55,0
29-Jul-2009,20404.51,20135.50,20542.61,19787.48,0
