Date,Open Price,Close Price,High Price,Low Price,Volume
02-Jan-2009,9262.00,9486.30,9486.30,9219.10,0
05-Jan-2009,9543.40,9644.10,9644.10,9507.70,0
06-Jan-2009,9677.10,9724.00,9799.40,9617.90,0
07-Jan-2009,9726.20,9570.00,9726.20,9503.80,0
08-Jan-2009,9452.70,9469.50,9576.10,9357.70,0
09-Jan-2009,9527.70,9378.50,9529.00,9309.50,0
12-Jan-2009,9329.50,9199.90,9350.60,9179.90,0
13-Jan-2009,9098.80,9057.30,9111.60,8920.20,0
14-Jan-2009,9132.10,8692.70,9138.30,8594.20,0
15-Jan-2009,8685.90,8611.10,8735.80,8500.40,0
16-Jan-2009,8778.30,8620.10,8884.00,8620.10,0
19-Jan-2009,8739.10,8494.80,8788.30,8393.50,0
20-Jan-2009,8462.50,8276.50,8617.30,8223.70,0
21-Jan-2009,8212.40,8230.70,8388.90,8077.10,0
22-Jan-2009,8381.00,8159.30,8451.20,8117.10,0
23-Jan-2009,8152.60,8172.80,8208.30,7981.70,0
26-Jan-2009,8356.20,8375.20,8420.50,8091.50,0
27-Jan-2009,8408.20,8349.50,8410.60,8169.00,0
28-Jan-2009,8413.50,8701.50,8731.40,8397.60,0
29-Jan-2009,8650.30,8477.40,8665.00,8403.10,0
30-Jan-2009,8456.70,8450.40,8511.90,8326.40,0
02-Feb-2009,8275.40,8233.40,8309.80,8118.30,0
03-Feb-2009,8294.80,8361.90,8365.90,8180.30,0
04-Feb-2009,8413.20,8495.40,8547.60,8285.90,0
05-Feb-2009,8333.10,8440.20,8452.90,8209.20,0
06-Feb-2009,8498.30,8544.70,8608.70,8411.40,0
09-Feb-2009,8495.00,8584.80,8601.00,8462.60,0
10-Feb-2009,8523.40,8397.30,8651.00,8390.40,0
11-Feb-2009,8330.20,8355.80,8388.30,8246.30,0
12-Feb-2009,8302.30,8200.90,8327.40,8116.60,0
13-Feb-2009,8291.30,8265.50,8393.80,8254.90,0
16-Feb-2009,8206.00,8075.00,8228.90,8075.00,0
17-Feb-2009,7988.00,7843.20,8006.10,7783.80,0
18-Feb-2009,7890.00,7861.40,7910.40,7707.00,0
19-Feb-2009,7903.30,7875.90,7963.20,7824.40,0
20-Feb-2009,7740.00,7603.60,7760.10,7601.80,0
23-Feb-2009,7729.10,7540.40,7781.00,7514.90,0
24-Feb-2009,7436.80,7483.40,7547.20,7403.60,0
25-Feb-2009,7625.60,7512.10,7642.80,7385.00,0
26-Feb-2009,7571.20,7811.70,7862.00,7564.80,0
27-Feb-2009,7731.90,7620.90,7736.30,7522.10,0
02-Mar-2009,7428.60,7270.50,7464.30,7270.50,0
03-Mar-2009,7315.90,7219.40,7358.20,7200.20,0
04-Mar-2009,7295.50,7357.50,7390.30,7257.60,0
05-Mar-2009,7295.30,7025.90,7297.00,7025.90,0
06-Mar-2009,7061.90,6936.90,7086.80,6883.50,0
09-Mar-2009,6965.40,6817.40,6970.00,6702.60,0
10-Mar-2009,6808.10,7153.30,7153.30,6771.70,0
11-Mar-2009,7143.00,7204.70,7357.10,7063.30,0
12-Mar-2009,7142.80,7340.50,7340.50,7008.60,0
13-Mar-2009,7492.50,7427.80,7543.20,7376.00,0
16-Mar-2009,7546.60,7636.90,7647.10,7531.80,0
17-Mar-2009,7604.80,7645.30,7715.70,7530.40,0
18-Mar-2009,7739.20,7661.60,7812.40,7552.70,0
19-Mar-2009,7736.70,7701.60,7845.60,7675.30,0
20-Mar-2009,7640.10,7710.00,7710.00,7527.20,0
23-Mar-2009,7838.50,7952.30,7972.40,7783.30,0
24-Mar-2009,8093.20,7989.50,8106.10,7902.30,0
25-Mar-2009,7952.70,8072.40,8120.80,7948.90,0
26-Mar-2009,8107.60,8076.20,8109.90,7973.70,0
27-Mar-2009,8043.50,7927.60,8113.40,7911.70,0
30-Mar-2009,7782.20,7601.10,7788.00,7589.10,0
31-Mar-2009,7644.30,7815.00,7815.00,7639.70,0
01-Apr-2009,7761.30,7961.00,8002.00,7637.20,0
02-Apr-2009,8115.80,8334.70,8347.40,8102.70,0
03-Apr-2009,8280.60,8319.90,8410.70,8245.30,0
06-Apr-2009,8435.00,8321.10,8502.20,8224.50,0
07-Apr-2009,8403.00,8346.00,8455.70,8247.60,0
08-Apr-2009,8210.80,8404.70,8415.30,8175.10,0
09-Apr-2009,8457.60,8704.80,8714.00,8400.10,0
14-Apr-2009,8688.30,8834.80,8862.90,8677.50,0
15-Apr-2009,8748.30,8711.90,8825.30,8662.90,0
16-Apr-2009,8790.90,8874.50,8925.80,8703.80,0
17-Apr-2009,8898.30,9030.90,9030.90,8803.00,0
20-Apr-2009,8988.30,8718.20,9018.10,8672.00,0
21-Apr-2009,8706.70,8615.80,8758.80,8413.60,0
22-Apr-2009,8608.20,8834.10,8838.60,8547.30,0
23-Apr-2009,8777.80,8769.20,8876.30,8717.70,0
24-Apr-2009,8768.70,8888.20,8905.20,8730.80,0
27-Apr-2009,8739.90,8777.00,8799.70,8633.80,0
28-Apr-2009,8619.20,8656.30,8706.90,8503.70,0
29-Apr-2009,8730.10,8891.30,8929.80,8697.00,0
30-Apr-2009,8986.90,9038.00,9100.80,8957.30,0
04-May-2009,9048.10,9074.70,9094.80,8930.00,0
05-May-2009,9109.40,9136.70,9195.50,9109.40,0
06-May-2009,9119.70,9229.00,9272.90,9086.60,0
07-May-2009,9292.20,9228.90,9443.90,9175.90,0
08-May-2009,9310.10,9408.10,9443.70,9278.60,0
11-May-2009,9457.60,9316.80,9460.30,9232.20,0
12-May-2009,9196.90,9269.00,9377.80,9181.90,0
13-May-2009,9320.10,9000.60,9351.20,8982.50,0
14-May-2009,8979.30,8984.20,9002.70,8838.50,0
15-May-2009,9035.40,8978.60,9085.00,8922.10,0
18-May-2009,8879.50,9159.30,9163.20,8828.50,0
19-May-2009,9251.70,9341.60,9387.30,9232.80,0
20-May-2009,9356.90,9389.40,9449.40,9261.10,0
21-May-2009,9282.40,9225.30,9299.90,9180.60,0
22-May-2009,9250.10,9308.60,9378.20,9206.40,0
25-May-2009,9336.80,9347.40,9371.70,9175.60,0
26-May-2009,9294.70,9405.70,9438.80,9209.60,0
27-May-2009,9449.00,9510.80,9522.00,9422.90,0
28-May-2009,9407.00,9435.50,9496.00,9368.50,0
