Date,Open Price,Close Price,High Price,Low Price,Volume
02-Jan-2009,1212.74,1263.70,1266.45,1208.91,248576128
05-Jan-2009,1254.70,1262.52,1274.11,1244.89,298954208
06-Jan-2009,1274.36,1274.49,1286.08,1265.53,343802624
07-Jan-2009,1249.98,1238.60,1256.34,1228.32,388103616
08-Jan-2009,1231.75,1252.52,1252.52,1223.81,326125920
09-Jan-2009,1252.60,1223.01,1252.95,1217.59,338943040
12-Jan-2009,1225.12,1201.13,1225.78,1188.21,299021952
13-Jan-2009,1200.92,1202.65,1219.05,1186.95,378152320
14-Jan-2009,1183.79,1163.42,1190.42,1157.89,365936416
15-Jan-2009,1159.94,1183.52,1192.45,1141.74,428985088
16-Jan-2009,1199.20,1198.14,1202.81,1167.34,441337536
20-Jan-2009,1193.98,1136.61,1195.89,1136.61,388639392
21-Jan-2009,1156.65,1185.76,1186.43,1142.33,382798720
22-Jan-2009,1161.95,1168.08,1187.71,1149.31,489707456
23-Jan-2009,1148.61,1175.89,1192.64,1144.41,415715392
26-Jan-2009,1177.44,1184.56,1202.94,1169.21,350789664
27-Jan-2009,1185.81,1194.41,1202.05,1184.42,335181344
28-Jan-2009,1213.84,1235.91,1245.98,1213.24,392354400
29-Jan-2009,1217.75,1203.85,1220.72,1198.76,369343232
30-Jan-2009,1212.31,1180.25,1216.46,1176.82,415150944
02-Feb-2009,1168.13,1195.75,1203.53,1167.49,361605568
03-Feb-2009,1198.79,1215.66,1218.91,1180.25,364349792
04-Feb-2009,1215.64,1215.43,1243.68,1210.98,424406336
05-Feb-2009,1200.26,1245.11,1250.14,1199.53,466472640
06-Feb-2009,1244.43,1277.49,1280.40,1243.86,382293248
09-Feb-2009,1276.72,1281.65,1286.81,1267.86,311688000
10-Feb-2009,1269.48,1229.29,1286.90,1223.54,485710560
11-Feb-2009,1231.62,1227.05,1239.92,1208.53,374494560
12-Feb-2009,1212.02,1242.81,1243.59,1204.38,425187072
13-Feb-2009,1240.81,1236.85,1250.11,1231.63,293894080
17-Feb-2009,1197.59,1187.04,1204.54,1180.43,396338432
18-Feb-2009,1193.89,1188.77,1204.56,1172.94,353679744
19-Feb-2009,1194.31,1167.89,1201.94,1166.52,355155936
20-Feb-2009,1157.14,1172.71,1183.36,1153.18,479516800
23-Feb-2009,1180.10,1128.97,1180.10,1126.58,379708896
24-Feb-2009,1138.71,1171.45,1176.56,1136.14,451622240
25-Feb-2009,1158.91,1160.83,1183.93,1142.83,448724064
26-Feb-2009,1168.12,1127.10,1174.77,1127.10,419880192
27-Feb-2009,1116.78,1116.99,1135.45,1112.12,493418944
02-Mar-2009,1098.99,1076.67,1116.22,1074.79,418249440
03-Mar-2009,1092.42,1080.67,1102.10,1072.42,454881184
04-Mar-2009,1096.20,1110.30,1124.67,1093.42,437933824
05-Mar-2009,1094.08,1074.52,1105.53,1072.51,435368864
06-Mar-2009,1082.53,1064.70,1088.04,1043.60,497248128
09-Mar-2009,1058.85,1043.87,1087.40,1040.41,370524160
10-Mar-2009,1060.42,1112.44,1112.44,1060.42,432322016
11-Mar-2009,1118.35,1125.95,1135.40,1106.72,385031296
12-Mar-2009,1121.91,1164.71,1167.19,1113.67,387782080
