Date,Open Price,Close Price,High Price,Low Price,Volume
05-Jan-2009,8991.21,9043.12,9127.38,8987.36,0
06-Jan-2009,9130.01,9080.84,9171.03,9029.94,0
07-Jan-2009,9133.80,9239.24,9325.35,9106.05,0
08-Jan-2009,9143.21,8876.42,9148.83,8876.42,0
09-Jan-2009,8932.71,8836.80,8956.85,8773.20,0
13-Jan-2009,8732.63,8413.91,8732.93,8405.50,0
14-Jan-2009,8425.75,8438.45,8516.07,8359.16,0
15-Jan-2009,8309.38,8023.31,8309.38,7997.73,0
16-Jan-2009,8125.20,8230.15,8283.91,8067.47,0
19-Jan-2009,8318.26,8256.85,8351.68,8221.84,0
20-Jan-2009,8187.14,8065.79,8190.42,7962.46,0
21-Jan-2009,7949.96,7901.64,8009.22,7829.30,0
22-Jan-2009,7988.30,8051.74,8051.74,7809.89,0
23-Jan-2009,7965.41,7745.25,7965.41,7745.25,0
26-Jan-2009,7714.26,7682.14,7807.16,7671.04,0
27-Jan-2009,7782.90,8061.07,8115.15,7782.07,0
28-Jan-2009,8052.25,8106.29,8171.63,7936.59,0
29-Jan-2009,8201.16,8251.24,8305.38,8138.99,0
30-Jan-2009,8142.88,7994.05,8142.88,7922.39,0
02-Feb-2009,7908.51,7873.98,7955.75,7795.27,0
03-Feb-2009,7862.95,7825.51,8084.41,7800.80,0
04-Feb-2009,7897.24,8038.94,8084.97,7863.65,0
05-Feb-2009,7985.53,7949.65,8093.96,7901.04,0
06-Feb-2009,8054.27,8076.62,8169.04,8033.24,0
09-Feb-2009,8178.07,7969.03,8257.71,7969.03,0
10-Feb-2009,8066.94,7945.94,8124.79,7917.27,0
12-Feb-2009,7842.53,7705.36,7862.52,7685.68,0
13-Feb-2009,7789.35,7779.40,7887.74,7730.27,0
16-Feb-2009,7732.68,7750.17,7804.24,7694.73,0
17-Feb-2009,7690.13,7645.51,7710.43,7615.94,0
18-Feb-2009,7539.96,7534.44,7565.79,7479.18,0
19-Feb-2009,7604.22,7557.65,7642.69,7537.56,0
20-Feb-2009,7544.07,7416.38,7554.70,7382.33,0
23-Feb-2009,7314.30,7376.16,7417.18,7209.43,0
24-Feb-2009,7266.68,7268.56,7270.90,7155.16,0
25-Feb-2009,7368.44,7461.22,7471.03,7330.44,0
26-Feb-2009,7470.60,7457.93,7599.81,7433.06,0
27-Feb-2009,7463.42,7568.42,7589.77,7414.40,0
02-Mar-2009,7454.28,7280.15,7454.28,7234.96,0
03-Mar-2009,7177.79,7229.72,7288.14,7088.47,0
