Date,Open Price,Close Price,High Price,Low Price,Volume
02-Jan-2009,6379.03,6427.51,6429.39,6356.70,0
05-Jan-2009,6470.27,6565.13,6565.13,6468.86,0
06-Jan-2009,6573.45,6696.88,6711.17,6569.23,0
07-Jan-2009,6712.16,6693.47,6720.01,6622.01,0
08-Jan-2009,6616.82,6607.36,6652.88,6585.13,0
09-Jan-2009,6649.91,6592.21,6649.91,6530.01,0
12-Jan-2009,6563.46,6529.68,6594.69,6528.48,0
13-Jan-2009,6534.81,6495.24,6548.95,6431.03,0
14-Jan-2009,6535.01,6278.14,6541.49,6278.14,0
15-Jan-2009,6304.26,6342.27,6369.46,6240.46,0
16-Jan-2009,6415.89,6446.08,6495.57,6404.79,0
19-Jan-2009,6470.50,6363.10,6508.35,6329.93,0
20-Jan-2009,6388.57,6294.31,6399.03,6270.05,0
21-Jan-2009,6263.63,6224.03,6277.45,6178.09,0
22-Jan-2009,6320.94,6263.83,6334.78,6228.17,0
23-Jan-2009,6275.99,6294.20,6294.20,6223.53,0
26-Jan-2009,6284.32,6353.41,6366.62,6284.32,0
27-Jan-2009,6378.04,6299.82,6395.70,6261.62,0
28-Jan-2009,6344.27,6401.76,6416.58,6344.27,0
29-Jan-2009,6386.62,6402.96,6424.27,6371.18,0
30-Jan-2009,6377.03,6438.19,6438.19,6359.82,0
02-Feb-2009,6406.76,6337.79,6407.88,6321.77,0
03-Feb-2009,6356.44,6373.98,6378.31,6321.45,0
04-Feb-2009,6379.64,6418.98,6424.43,6340.47,0
05-Feb-2009,6361.98,6350.70,6392.76,6302.29,0
06-Feb-2009,6375.42,6458.74,6464.66,6353.97,0
09-Feb-2009,6432.70,6475.07,6496.28,6422.18,0
10-Feb-2009,6455.79,6413.08,6497.46,6413.08,0
11-Feb-2009,6399.58,6457.49,6457.49,6373.54,0
12-Feb-2009,6458.19,6405.49,6458.19,6363.56,0
13-Feb-2009,6433.52,6454.14,6503.17,6429.28,0
16-Feb-2009,6424.47,6374.65,6424.47,6370.10,0
17-Feb-2009,6356.39,6170.89,6356.39,6162.43,0
18-Feb-2009,6195.13,6193.69,6217.52,6102.50,0
19-Feb-2009,6207.22,6157.21,6216.07,6148.28,0
20-Feb-2009,6092.76,6021.44,6111.98,6021.44,0
23-Feb-2009,6082.37,6012.45,6092.77,5985.77,0
24-Feb-2009,5974.01,5904.22,5976.08,5856.79,0
25-Feb-2009,6014.99,5851.18,6018.83,5827.82,0
26-Feb-2009,5876.82,5976.40,5976.40,5855.98,0
27-Feb-2009,5943.74,6003.75,6003.75,5877.62,0
02-Mar-2009,5902.32,5874.24,5912.60,5857.32,0
03-Mar-2009,5894.51,5743.09,5921.03,5743.09,0
04-Mar-2009,5780.85,5818.94,5818.94,5721.86,0
05-Mar-2009,5794.76,5748.94,5875.45,5722.26,0
06-Mar-2009,5740.17,5776.36,5840.20,5740.17,0
09-Mar-2009,5770.98,5754.71,5794.54,5696.46,0
10-Mar-2009,5758.88,5869.73,5869.73,5716.41,0
11-Mar-2009,5892.54,5923.58,5945.16,5828.75,0
12-Mar-2009,5897.68,5983.34,5983.34,5841.95,0
13-Mar-2009,6011.56,6028.91,6064.90,6004.66,0
16-Mar-2009,6061.66,6060.07,6106.88,6044.27,0
17-Mar-2009,6037.81,6046.24,6071.72,6011.35,0
18-Mar-2009,6092.32,6119.02,6119.58,6066.24,0
19-Mar-2009,6134.95,6185.82,6237.58,6134.95,0
20-Mar-2009,6154.78,6147.04,6188.80,6104.28,0
23-Mar-2009,6205.75,6308.65,6308.65,6202.93,0
24-Mar-2009,6347.86,6215.84,6357.51,6194.23,0
25-Mar-2009,6214.70,6236.96,6256.72,6188.68,0
26-Mar-2009,6244.35,6156.26,6257.02,6134.61,0
27-Mar-2009,6145.37,6095.29,6184.14,6079.83,0
30-Mar-2009,6048.01,6044.23,6094.91,6003.11,0
31-Mar-2009,6083.66,6174.74,6174.74,6076.33,0
01-Apr-2009,6145.58,6216.71,6222.75,6118.49,0
02-Apr-2009,6260.59,6429.02,6429.02,6260.59,0
03-Apr-2009,6415.42,6407.76,6535.95,6381.92,0
06-Apr-2009,6460.31,6460.50,6553.59,6437.95,0
07-Apr-2009,6478.34,6434.10,6511.41,6385.86,0
08-Apr-2009,6352.89,6451.98,6472.61,6348.12,0
09-Apr-2009,6478.62,6562.03,6568.88,6456.81,0
14-Apr-2009,6570.36,6617.66,6648.49,6560.05,0
15-Apr-2009,6581.98,6593.81,6606.43,6565.84,0
16-Apr-2009,6611.64,6669.27,6708.64,6596.38,0
17-Apr-2009,6708.21,6783.02,6783.02,6703.47,0
20-Apr-2009,6818.91,6709.04,6821.84,6663.12,0
21-Apr-2009,6598.89,6540.15,6662.24,6473.18,0
22-Apr-2009,6579.00,6574.19,6579.00,6498.82,0
23-Apr-2009,6564.70,6560.34,6599.00,6537.41,0
24-Apr-2009,6541.68,6636.87,6636.87,6541.68,0
27-Apr-2009,6597.55,6617.38,6618.16,6556.83,0
28-Apr-2009,6576.19,6532.91,6585.71,6511.61,0
29-Apr-2009,6574.18,6671.68,6691.29,6565.75,0
30-Apr-2009,6708.15,6755.70,6804.08,6707.14,0
