Date,Open Price,Close Price,High Price,Low Price,Volume
02-Jan-2009,8951.85,9234.11,9235.18,8918.11,150686304
05-Jan-2009,9233.04,9285.51,9372.92,9115.96,242539168
06-Jan-2009,9409.77,9472.09,9505.72,9285.51,263953344
07-Jan-2009,9362.87,9121.32,9472.09,9100.24,222084720
08-Jan-2009,9075.47,9221.58,9224.07,9016.69,204077360
09-Jan-2009,9237.83,9085.18,9267.51,9053.16,199519280
12-Jan-2009,8952.50,8793.33,9085.18,8751.58,210801952
13-Jan-2009,8826.35,8961.55,8986.15,8793.33,203531968
14-Jan-2009,8863.80,8688.36,8961.55,8608.63,285194976
15-Jan-2009,8730.77,8879.61,8879.61,8470.97,333600320
16-Jan-2009,9082.14,8920.40,9036.44,8734.42,210110816
19-Jan-2009,8864.35,8841.48,8920.40,8807.73,95880560
20-Jan-2009,8867.88,8504.93,8869.30,8486.32,271032160
21-Jan-2009,8574.51,8757.89,8763.52,8392.12,245971136
22-Jan-2009,8619.17,8486.56,8757.89,8472.52,210894944
23-Jan-2009,8428.53,8627.97,8687.80,8387.56,272410208
26-Jan-2009,8700.12,8656.51,8821.92,8539.44,196544704
27-Jan-2009,8692.07,8759.63,8762.70,8621.35,183251456
28-Jan-2009,8900.46,8906.23,8966.72,8759.63,271162176
29-Jan-2009,8815.51,8762.76,8906.23,8740.78,231914944
30-Jan-2009,8901.45,8694.90,8892.20,8579.89,264801296
02-Feb-2009,8602.98,8624.83,8694.90,8533.63,186573376
03-Feb-2009,8643.93,8628.63,8663.02,8540.47,206606800
04-Feb-2009,8700.04,8693.09,8814.02,8628.63,282623008
05-Feb-2009,8708.05,8860.98,8860.98,8607.45,243661520
06-Feb-2009,8827.09,9008.02,9102.00,8824.68,245330000
09-Feb-2009,9055.76,9047.28,9151.58,8997.44,194103024
10-Feb-2009,9084.31,8817.89,9114.48,8771.75,232526752
11-Feb-2009,8840.34,8737.89,8919.21,8731.15,282015904
12-Feb-2009,8698.25,8778.78,8785.09,8590.49,242732576
13-Feb-2009,8797.02,8678.10,8792.30,8669.15,177555152
17-Feb-2009,8630.28,8378.70,8678.10,8351.94,230619216
18-Feb-2009,8419.48,8175.95,8413.02,8138.98,273964544
19-Feb-2009,8234.12,8185.35,8296.33,8117.41,263957648
20-Feb-2009,8103.23,7949.99,8185.35,7874.90,261802768
23-Feb-2009,8014.40,7647.67,8032.08,7640.84,257605936
24-Feb-2009,7674.07,7859.33,7859.33,7566.32,349883360
25-Feb-2009,7885.96,7932.30,8033.14,7753.85,255041120
26-Feb-2009,8052.21,8186.82,8195.93,7932.30,306885664
27-Feb-2009,8061.54,8123.02,8188.72,8005.09,268426176
02-Mar-2009,7997.63,7687.51,8123.02,7589.66,259172448
03-Mar-2009,7752.92,7631.62,7797.67,7501.12,259564432
04-Mar-2009,7857.54,7814.75,7866.03,7631.62,292503200
05-Mar-2009,7734.31,7629.17,7814.75,7589.84,263630640
06-Mar-2009,7686.76,7591.47,7764.84,7479.96,241503312
09-Mar-2009,7527.44,7566.94,7695.32,7515.01,196926992
10-Mar-2009,7699.87,7880.41,7886.82,7566.94,323569152
11-Mar-2009,7922.38,8011.02,8056.79,7858.41,284729088
12-Mar-2009,8027.32,8282.27,8332.53,7975.01,273301056
13-Mar-2009,8359.44,8303.39,8351.85,8183.79,218644128
16-Mar-2009,8289.86,8386.71,8550.77,8278.93,234874640
17-Mar-2009,8434.16,8559.60,8559.60,8304.57,234226496
18-Mar-2009,8460.98,8629.10,8669.79,8287.69,274610656
19-Mar-2009,8797.44,8690.49,8845.84,8629.10,310970464
20-Mar-2009,8708.12,8506.35,8737.83,8506.35,338244416
23-Mar-2009,8765.47,8958.51,8958.51,8506.35,287218400
24-Mar-2009,8825.68,8849.39,8958.51,8766.65,268014128
25-Mar-2009,8890.72,8797.44,8981.80,8692.56,298050880
26-Mar-2009,8939.75,8995.50,9018.50,8797.44,279141152
