Date,Open Price,Close Price,High Price,Low Price,Volume
02-Jan-2009,4856.85,4973.07,4974.73,4838.49,91772144
05-Jan-2009,5010.18,4983.99,5034.85,4949.36,150630528
06-Jan-2009,4992.67,5026.31,5111.02,4960.21,120803016
07-Jan-2009,5008.62,4937.47,5010.97,4914.22,137572032
08-Jan-2009,4897.16,4879.91,4917.62,4820.08,156333888
09-Jan-2009,4891.58,4783.89,4932.66,4743.97,162262480
12-Jan-2009,4765.38,4719.62,4791.96,4708.50,116129176
13-Jan-2009,4704.51,4636.94,4704.51,4596.49,146029568
14-Jan-2009,4661.84,4422.35,4670.84,4379.88,204723696
15-Jan-2009,4434.22,4336.73,4451.32,4295.76,184321248
16-Jan-2009,4395.79,4366.28,4474.86,4357.82,177919520
19-Jan-2009,4409.88,4316.14,4452.57,4249.91,144559472
20-Jan-2009,4297.42,4239.85,4382.11,4222.76,163113648
21-Jan-2009,4208.19,4261.15,4313.69,4140.26,175217456
22-Jan-2009,4313.36,4219.42,4368.47,4197.02,140286944
23-Jan-2009,4204.00,4178.94,4222.01,4067.43,153362320
26-Jan-2009,4165.71,4326.87,4371.52,4145.12,151593024
27-Jan-2009,4322.99,4323.42,4360.79,4264.97,128339904
28-Jan-2009,4347.78,4518.72,4533.70,4347.78,172048640
29-Jan-2009,4495.74,4428.11,4501.44,4393.98,142050208
30-Jan-2009,4420.33,4338.35,4454.39,4312.17,145201376
02-Feb-2009,4309.17,4271.04,4309.19,4198.15,111287152
03-Feb-2009,4302.52,4374.96,4385.44,4224.53,130716584
04-Feb-2009,4388.26,4492.79,4545.52,4372.01,139793264
05-Feb-2009,4443.95,4510.49,4519.44,4387.78,126373328
06-Feb-2009,4524.80,4644.63,4657.06,4506.45,164838368
09-Feb-2009,4627.83,4666.82,4688.59,4596.74,145603104
10-Feb-2009,4636.64,4505.54,4649.23,4505.54,147312912
11-Feb-2009,4491.72,4530.09,4539.22,4466.06,107647168
12-Feb-2009,4518.68,4407.56,4518.68,4371.47,130700952
13-Feb-2009,4458.74,4413.39,4508.72,4397.60,109216464
16-Feb-2009,4386.46,4366.64,4421.78,4359.29,86113224
17-Feb-2009,4329.35,4216.60,4329.70,4195.22,144426912
18-Feb-2009,4229.53,4204.96,4255.39,4124.11,147542544
19-Feb-2009,4212.71,4215.21,4275.09,4189.16,121869936
20-Feb-2009,4164.51,4014.66,4167.05,4014.66,173606816
23-Feb-2009,4057.25,3936.45,4111.52,3912.71,131904208
24-Feb-2009,3922.02,3895.75,3932.59,3816.88,149828192
25-Feb-2009,3937.93,3846.21,3977.77,3790.79,152061296
26-Feb-2009,3882.88,3942.62,3989.63,3849.76,186766592
27-Feb-2009,3907.85,3843.74,3907.85,3764.69,207658112
02-Mar-2009,3817.51,3710.07,3821.97,3692.78,153081552
03-Mar-2009,3724.53,3690.72,3755.88,3667.86,138062864
04-Mar-2009,3724.74,3890.94,3891.71,3721.91,173156544
05-Mar-2009,3864.18,3695.49,3864.18,3695.49,156961968
06-Mar-2009,3699.33,3666.41,3769.13,3638.00,167749600
09-Mar-2009,3677.07,3692.03,3706.32,3588.89,146212960
10-Mar-2009,3716.29,3886.98,3908.14,3681.33,207917024
11-Mar-2009,3866.74,3914.10,3994.77,3829.13,189317520
12-Mar-2009,3890.23,3956.22,3971.25,3802.20,168484640
