Date,Africa,North America,South America,Asia (ex China),West Europe,East & Central Europe,Oceania,GCC,China,China Estimated Unreported,ROW Estimated Unreported,Total,Daily Average
2019-11-01,133.0,311.0,95.0,359.0,282.0,345.0,157.0,481.0,2.0,880.0,150.0,5193.0,173.1
2019-10-01,138.0,316.0,101.0,370.0,286.0,356.0,162.0,494.0,2.0,976.0,150.0,5349.0,172.5
2019-09-01,134.0,310.0,94.0,361.0,276.0,344.0,158.0,478.0,2.0,917.0,150.0,5222.0,174.1
2019-08-01,139.0,321.0,95.0,374.0,286.0,356.0,165.0,494.0,2.0,974.0,150.0,5354.0,172.7
2019-07-01,137.0,322.0,93.0,372.0,286.0,356.0,162.0,480.0,3.0,60.0,150.0,5418.0,174.8
2019-06-01,135.0,314.0,85.0,360.0,284.0,343.0,159.0,458.0,2.0,973.0,150.0,5261.0,175.4
2019-05-01,142.0,326.0,86.0,374.0,293.0,353.0,164.0,467.0,3.0,55.0,150.0,5410.0,174.5
2019-04-01,135.0,318.0,81.0,363.0,286.0,339.0,158.0,452.0,2.0,958.0,150.0,5240.0,174.7
2019-03-01,144.0,325.0,89.0,378.0,296.0,349.0,162.0,464.0,3.0,38.0,150.0,5395.0,174.0
2019-02-01,127.0,296.0,82.0,345.0,274.0,314.0,147.0,416.0,2.0,776.0,150.0,4927.0,176.0
2019-01-01,140.0,326.0,82.0,373.0,306.0,345.0,161.0,461.0,3.0,76.0,150.0,5420.0,174.8
2018-12-01,141.0,329.0,92.0,381.0,307.0,344.0,165.0,447.0,3.0,140.0,150.0,5496.0,177.3
2018-11-01,137.0,318.0,89.0,361.0,310.0,332.0,156.0,432.0,3.0,42.0,150.0,5327.0,177.6
2018-10-01,143.0,323.0,93.0,377.0,321.0,343.0,164.0,450.0,3.0,126.0,150.0,5490.0,177.1
2018-09-01,138.0,310.0,89.0,364.0,312.0,332.0,159.0,437.0,3.0,10.0,150.0,5301.0,176.7
2018-08-01,144.0,320.0,95.0,377.0,321.0,343.0,163.0,454.0,3.0,120.0,150.0,5487.0,177.0
2018-07-01,144.0,313.0,96.0,376.0,321.0,343.0,166.0,451.0,3.0,115.0,150.0,5475.0,176.6
2018-06-01,140.0,303.0,88.0,368.0,310.0,333.0,155.0,437.0,3.0,50.0,150.0,5334.0,177.8
2018-05-01,134.0,321.0,94.0,372.0,315.0,345.0,163.0,452.0,3.0,90.0,150.0,5436.0,175.4
2018-04-01,138.0,311.0,103.0,355.0,303.0,334.0,156.0,443.0,3.0,7.0,150.0,5300.0,176.7
2018-03-01,143.0,319.0,112.0,377.0,310.0,345.0,162.0,462.0,3.0,42.0,150.0,5422.0,174.9
2018-02-01,128.0,285.0,103.0,338.0,282.0,311.0,146.0,414.0,2.0,750.0,150.0,4907.0,175.3
